fuente;fecha_captura;id_anuncio;precio_mes;habitaciones;m2;zona;planta;ascensor;banos;garaje;tipo_alquiler;texto_original;es_duplicado_cruzado
idealista;2026-08-24;;1100.0;4.0;110.0;Centro;6ª;True;;False;temporada;"Piso en Avenida de la Llibertat, 27 | 1100 | Estudiantes UA; 15 min andando; temporada";True
idealista;2026-08-24;;1300.0;4.0;124.0;Los Girasoles;1ª;True;;True;anual/no_especificado;"Piso en Partida Raspeig Polig D | 1300 | Garaje; máximo 4 personas; suministros incluidos";True
idealista;2026-08-24;;950.0;3.0;115.0;Haygon - Universidad;4ª;True;;False;anual/no_especificado;"Piso en Colonia Santa Isabel, 52 | 950 | Solo estudiantes; 5 min UA; sep-jun";False
idealista;2026-08-24;;900.0;3.0;130.0;Centro;1ª;False;;False;temporada;"Piso en Calle Benlliure | 900 | Solo estudiantes; temporada; 85 m² útiles";True
idealista;2026-08-24;;1475.0;5.0;132.0;Centro;1ª;False;;False;anual/no_especificado;"Piso en Centro | 1475 | Estudiantes; cinco habitaciones";False
idealista;2026-08-24;;930.0;4.0;382.0;Centro;1ª;False;;False;temporada;"Piso en Bailen | 930 | Temporada estudiantes; 5 min UA; 250 €/habitación";False
idealista;2026-08-24;;2100.0;6.0;200.0;Centro;;False;;True;anual/no_especificado;"Casa independiente Calle Major | 2100 | Septiembre-junio; solo estudiantes; garaje";False
idealista;2026-08-24;;1500.0;4.0;135.0;Centro;4ª;True;;False;temporada;"Piso en Sevilla | 1500 | Temporada; piscina en azotea";False
idealista;2026-08-24;;1100.0;3.0;90.0;Centro;1ª;True;;True;anual/no_especificado;"Piso en Calle Villafranqueza, 43 | 1100 | Solo estudiantes; 7 min UA; garaje opcional";True
idealista;2026-08-24;;850.0;3.0;89.0;Alcalde Felipe Mallol;3ª;True;;False;anual/no_especificado;"Piso en Alcalde Felipe Mallol | 850 | Estudiantes; zona Canastell";False
fotocasa;2026-08-26;;1150.0;3.0;100.0;Centro;;True;;False;anual/no_especificado;1150 | Centro | Ascensor;True
fotocasa;2026-08-26;;350.0;4.0;142.0;Centro;;;;False;temporada;350 | Centro | Balcon (chalet);False
fotocasa;2026-08-26;;1400.0;4.0;100.0;Centro;;;;False;anual/no_especificado;1400 | Centro | adosada;False
fotocasa;2026-08-26;;900.0;4.0;95.0;Centro;;;;False;temporada;900 | Centro | 1a Planta;True
fotocasa;2026-08-26;;400.0;4.0;14.0;Villamontes-Boqueres;;;;False;anual/no_especificado;400 | Villamontes-Boqueres | Terraza;False
fotocasa;2026-08-26;;1050.0;3.0;92.0;Centro;;;;False;anual/no_especificado;1050 | Centro | Balcon;True
idealista;2026-08-26;;1000.0;4.0;100.0;;2ª planta;False;;False;temporada;1.000€/mes | 4 hab.|100 m²|2ª planta exterior sin ascensor;True
idealista;2026-08-26;;920.0;3.0;100.0;;1ª planta;True;;False;temporada;920€/mes | 3 hab.|100 m²|1ª planta exterior con ascensor;True
idealista;2026-08-26;;950.0;3.0;90.0;;;False;;False;anual/no_especificado;950€/mes | 3 hab.|90 m²|exterior sin ascensor;True
idealista;2026-08-26;;1150.0;4.0;100.0;;6ª planta;True;;False;temporada;1.150€/mes | 4 hab.|100 m²|6ª planta exterior con ascensor;False
idealista;2026-08-26;;1500.0;4.0;135.0;;4ª planta;True;;False;temporada;1.500€/mes | 4 hab.|135 m²|4ª planta exterior con ascensor;True
